instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,stopped at the time limit after 60.00s and 88124 nodes,-1.5000000000000004,-1.50000000000001,-1.8181818181818183,0.3181818181818179,0.21212121212121188,1,0,1,88124,60.068373,60.0032347,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,feasible,stopped at the time limit after 60.00s and 63941 nodes,51015.0,25508.0,1.0,51014.0,0.9999803979221797,0,0,1,63941,60.033977,60.0007254,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,node_limit,stopped at the time limit after 60.00s and 111422 nodes,inf,27.0,20.0,inf,inf,0,0,,111422,60.060042,60.0019595,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,node_limit,stopped at the time limit after 60.00s and 86092 nodes,inf,37.0,23.0,inf,inf,0,0,,86092,60.042616,60.0004614,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,feasible,"stopped on a relative gap target (1.086e+00 absolute, 5.229e-05 relative) after 543 nodes",20772.0,20771.99999999983,20770.91373869135,1.086261308650137,5.229449781677917e-05,1,0,1,543,3.954201,3.9263848,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,feasible,"stopped on a relative gap target (2.250e+01 absolute, 1.873e-05 relative) after 545 nodes",1201500.0,1201500.0,1201477.5,22.5,1.8726591760299626e-05,1,0,1,545,0.103314,0.0667601,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,stopped at the time limit after 60.00s and 80329 nodes,-9431.21240856,-9476.155197,-9500.777303928315,69.56489536831396,0.0073760289085605946,0,0,1,80329,60.046121,60.0012513,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,stopped at the time limit after 60.00s and 81980 nodes,6859.8671468699995,6840.96564179,6785.635714422954,74.23143244704534,0.010821118085488789,0,0,1,81980,60.040941,60.0023509,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.34999999999997,202.3499999999979,202.34999999999997,0.0,0.0,1,1,1,71,0.065305,0.0363256,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,optimal,,21166.0,21165.99999999978,21166.0,0.0,0.0,1,1,1,478,0.470132,0.4377498,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,stopped at the time limit after 60.00s and 64922 nodes,12066.0,11392.99999884458,6881.907,5184.093,0.4296447041272998,0,0,1,64922,60.050729,60.0003317,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,stopped at the time limit after 60.00s and 95138 nodes,40.0,0.9999999999990905,0.0,40.0,1.0,0,0,1,95138,60.045288,60.0030421,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,stopped at the time limit after 60.00s and 107802 nodes,3.9999999999995293,1.0,0.0,3.9999999999995293,1.0,0,0,1,107802,60.062323,60.0034265,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
