instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,stopped at the time limit after 60.00s and 98354 nodes,-1.5000000000000004,-1.50000000000001,-1.8181818181818183,0.3181818181818179,0.21212121212121188,1,0,1,98354,60.036152,60.0006568,f7ca7e9,Windows-AMD64,2026-09-13T10:48:45+00:00,
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,feasible,stopped at the time limit after 60.00s and 78839 nodes,51015.0,25508.0,1.0,51014.0,0.9999803979221797,0,0,1,78839,60.029136,60.0004989,f7ca7e9,Windows-AMD64,2026-09-13T10:48:45+00:00,
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,node_limit,stopped at the time limit after 60.00s and 131992 nodes,inf,27.0,20.0,inf,inf,0,0,,131992,60.036723,60.0006882,f7ca7e9,Windows-AMD64,2026-09-13T10:48:45+00:00,
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,node_limit,stopped at the time limit after 60.00s and 110681 nodes,inf,37.0,23.0,inf,inf,0,0,,110681,60.048306,60.0010786,f7ca7e9,Windows-AMD64,2026-09-13T10:48:45+00:00,
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,"optimal within the relative gap target (1.086e+00 absolute, 5.229e-05 relative) after 543 nodes; the bound is the best open node's, the tree was not exhausted",20772.0,20771.99999999983,20770.91373869135,1.086261308650137,5.229449781677917e-05,1,1,1,543,2.984150,2.9577567,f7ca7e9,Windows-AMD64,2026-09-13T10:48:45+00:00,
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,optimal,"optimal within the relative gap target (2.250e+01 absolute, 1.873e-05 relative) after 545 nodes; the bound is the best open node's, the tree was not exhausted",1201500.0,1201500.0,1201477.5,22.5,1.8726591760299626e-05,1,1,1,545,0.068994,0.0500654,f7ca7e9,Windows-AMD64,2026-09-13T10:48:45+00:00,
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,stopped at the time limit after 60.00s and 94956 nodes,-9431.21240856,-9476.155197,-9500.597046366905,69.38463780690472,0.007356916035941415,0,0,1,94956,60.031285,60.0009986,f7ca7e9,Windows-AMD64,2026-09-13T10:48:45+00:00,
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,stopped at the time limit after 60.00s and 96940 nodes,6859.8671468699995,6840.96564179,6786.405000630546,73.46214623945343,0.01070897506710061,0,0,1,96940,60.033234,60.0009498,f7ca7e9,Windows-AMD64,2026-09-13T10:48:45+00:00,
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.34999999999997,202.3499999999979,202.34999999999997,0.0,0.0,1,1,1,71,0.053857,0.0335057,f7ca7e9,Windows-AMD64,2026-09-13T10:48:45+00:00,
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,optimal,,21166.0,21165.99999999978,21166.0,0.0,0.0,1,1,1,478,0.255315,0.2322889,f7ca7e9,Windows-AMD64,2026-09-13T10:48:45+00:00,
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,stopped at the time limit after 60.00s and 77594 nodes,12066.0,11392.99999884458,6956.602000000001,5109.397999999999,0.42345416873860425,0,0,1,77594,60.044618,60.0003272,f7ca7e9,Windows-AMD64,2026-09-13T10:48:45+00:00,
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,stopped at the time limit after 60.00s and 113962 nodes,40.0,0.9999999999990905,0.0,40.0,1.0,0,0,1,113962,60.034513,60.0008114,f7ca7e9,Windows-AMD64,2026-09-13T10:48:45+00:00,
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,stopped at the time limit after 60.00s and 160627 nodes,3.9999999999995293,1.0,0.0,3.9999999999995293,1.0,0,0,1,160627,60.029697,60.0005108,f7ca7e9,Windows-AMD64,2026-09-13T10:48:45+00:00,
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,stopped at the time limit after 60.00s and 125188 nodes,20.999999999999932,1.0,0.0,20.999999999999932,1.0,0,0,1,125188,60.032334,60.0007201,f7ca7e9,Windows-AMD64,2026-09-13T10:48:45+00:00,
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0.028126,0.0054281,f7ca7e9,Windows-AMD64,2026-09-13T10:48:45+00:00,
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,stopped at the time limit after 60.00s and 22476 nodes,11928124.0,11807698.0,10619749.0,1308375.0,0.10968824603097688,0,0,1,22476,60.028869,60.0034701,f7ca7e9,Windows-AMD64,2026-09-13T10:48:45+00:00,
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,stopped at the time limit after 60.00s and 48283 nodes,120.0,119.0,113.41375,6.586250000000007,0.05488541666666672,0,0,1,48283,60.032874,60.0004645,f7ca7e9,Windows-AMD64,2026-09-13T10:48:45+00:00,
